estacion,latitud,longitud
AA1SC,40.4188,-3.7078
AB2SC,40.4128,-3.6988
AC3SC,40.4168,-3.6918
AD4RF,40.4208,-3.6858
AE5VE,40.4228,-3.6798
AF6SC,40.4268,-3.6718
AG7BH,40.4288,-3.6638
BA1SC,40.4348,-3.7158
BB2OC,40.4368,-3.7098
BC3SC,40.4388,-3.7038
BD2VB,40.4408,-3.6978
BE4RC,40.4388,-3.6918
BF5SC,40.4348,-3.6838
BG6SC,40.4328,-3.6748
RA1SC,40.4428,-3.6798
RB2SC,40.4468,-3.6858
RD3VC,40.4328,-3.6938
RE5SC,40.4248,-3.6918
RG6SC,40.4048,-3.6918
VA1SC,40.4528,-3.7038
VD4SC,40.4288,-3.6858
VF6SC,40.4168,-3.6778
OA1SC,40.4548,-3.7198
OB2SC,40.4448,-3.7158
OC3SC,40.4248,-3.7038
